0;t_default;P_default;t_cwm;P_cwm
;2.315038684710946e-08;0.2721763988693029;2.315038684710946e-08;0.24089174552329753
;2.3284204112104107e-08;0.27938330982512155;2.3284204112104107e-08;0.24675913253036613
;2.3418021377098752e-08;0.2911060213889409;2.3418021377098752e-08;0.2602657498979612
;2.3551838642093398e-08;0.2983094236762027;2.3551838642093398e-08;0.27246373562074144
;2.3685655907088043e-08;0.30188895808450567;2.3685655907088043e-08;0.28057865887463634
;2.381947317208269e-08;0.31225278557268027;2.381947317208269e-08;0.29276010621148507
;2.3953290437077335e-08;0.3185616083670811;2.3953290437077335e-08;0.2959138267215557
;2.408710770207198e-08;0.32261506569409565;2.408710770207198e-08;0.3067392871275228
;2.4220924967066626e-08;0.3293584755340869;2.4220924967066626e-08;0.31036416924723476
;2.435474223206127e-08;0.33657281213627394;2.435474223206127e-08;0.3121685502264761
;2.4488559497055917e-08;0.3501168642080835;2.4488559497055917e-08;0.32433350496277763
;2.4622376762050563e-08;0.35191299978400437;2.4622376762050563e-08;0.33698518636493097
;2.475619402704521e-08;0.35368828485644616;2.475619402704521e-08;0.3446520784526109
;2.4890011292039854e-08;0.3577903024317418;2.4890011292039854e-08;0.3545819779518722
;2.50238285570345e-08;0.3663407940802171;2.50238285570345e-08;0.36628646186993247
;2.5157645822029145e-08;0.3811790847788017;2.5157645822029145e-08;0.38075019085357953
;2.529146308702379e-08;0.3910803905719821;2.529146308702379e-08;0.39291375228884845
;2.5425280352018437e-08;0.3932989962218447;2.5425280352018437e-08;0.4041608658249901
;2.5559097617013082e-08;0.4032213093457143;2.5559097617013082e-08;0.4203938599521714
;2.569291488244141e-08;0.4072532804381145;2.569291488244141e-08;0.42624242209002805
;2.5826732147436054e-08;0.427550842155452;2.5826732147436054e-08;0.42940843439493753
;2.59605494124307e-08;0.43789315060420514;2.59605494124307e-08;0.43931622565859285
;2.6094366677425346e-08;0.4446602839972419;2.6094366677425346e-08;0.4492251129253841
;2.622818394241999e-08;0.4532049596496446;2.622818394241999e-08;0.4609392108731954
;2.6362001207414637e-08;0.4658617179614753;2.6362001207414637e-08;0.4726734008588995
;2.6495818472409283e-08;0.4753384462602369;2.6495818472409283e-08;0.48218443094315977
;2.6629635737403928e-08;0.4807242803040667;2.6629635737403928e-08;0.4979867925331427
;2.6763453002398574e-08;0.4897244651315082;2.6763453002398574e-08;0.5070386252366808
;2.689727026739322e-08;0.49739235737236875;2.689727026739322e-08;0.5255432631690922
;2.7031087532387865e-08;0.5108987867589424;2.7031087532387865e-08;0.531448261298508
;2.716490479738251e-08;0.5171828113984186;2.716490479738251e-08;0.5449164684851816
;2.7298722062377156e-08;0.5221686482128675;2.7298722062377156e-08;0.5661151599173369
;2.7432539327371802e-08;0.5329207446588453;2.7432539327371802e-08;0.5742623485231049
;2.7566356592366448e-08;0.5396615991529868;2.7566356592366448e-08;0.5819279080224486
;2.7700173857361093e-08;0.5576829981734057;2.7700173857361093e-08;0.583712976705017
;2.783399112235574e-08;0.5648230320840433;2.783399112235574e-08;0.5936113701867824
;2.7967808387350385e-08;0.5814741661227005;2.7967808387350385e-08;0.6040092818503681
;2.810162565234503e-08;0.6008629263394318;2.810162565234503e-08;0.6197434699133221
;2.8235442917339676e-08;0.6126160830246338;2.8235442917339676e-08;0.6346329489531808
;2.836926018233432e-08;0.6251875932057501;2.836926018233432e-08;0.6518244815838384
;2.8503077447328967e-08;0.6404683906008313;2.8503077447328967e-08;0.6581066124279136
;2.8636894712323613e-08;0.6408874944322052;2.8636894712323613e-08;0.6635264488897967
;2.877071197731826e-08;0.6598063367175302;2.877071197731826e-08;0.6851839462128014
;2.8904529242312904e-08;0.6702012415263953;2.8904529242312904e-08;0.6978241422785281
;2.903834650730755e-08;0.6836493012401624;2.903834650730755e-08;0.7081986104056963
;2.9172163772735876e-08;0.699862328297131;2.9172163772735876e-08;0.7181534061994675
;2.9305981037730522e-08;0.7133571040478663;2.9305981037730522e-08;0.7262867733850483
;2.9439798302725168e-08;0.7173635111401173;2.9439798302725168e-08;0.7366166718268222
;2.9573615567719813e-08;0.728136839462215;2.9573615567719813e-08;0.7410713760308325
;2.970743283271446e-08;0.7357743250385455;2.970743283271446e-08;0.7549387902429845
;2.9841250097709104e-08;0.7442999276143509;2.9841250097709104e-08;0.7622008371758942
;2.997506736270375e-08;0.7627679830643693;2.997506736270375e-08;0.7793163325495421
;3.0108884627698396e-08;0.7654582912790996;3.0108884627698396e-08;0.7919209475731543
;3.024270189269304e-08;0.7649930085348724;3.024270189269304e-08;0.7878648314055196
;3.037651915768769e-08;0.7803065222214044;3.037651915768769e-08;0.7914468664570397
;3.051033642268233e-08;0.7915628798876992;3.051033642268233e-08;0.8004285859178216
;3.064415368767698e-08;0.8068911640636343;3.064415368767698e-08;0.8130481080095864
;3.0777970952671624e-08;0.8159104097967653;3.0777970952671624e-08;0.8306865054602875
;3.091178821766627e-08;0.8208681570462453;3.091178821766627e-08;0.8338283433583284
;3.1045605482660915e-08;0.8217371375735352;3.1045605482660915e-08;0.8370513688703123
;3.117942274765556e-08;0.8298829858556573;3.117942274765556e-08;0.8325109180179908
;3.1313240012650206e-08;0.8415506446540982;3.1313240012650206e-08;0.836076994395079
;3.144705727764485e-08;0.850142681766123;3.144705727764485e-08;0.8365735305251506
;3.15808745426395e-08;0.8704563629517901;3.15808745426395e-08;0.8497512216393225
;3.171469180763414e-08;0.8767420693937402;3.171469180763414e-08;0.8606177632058414
;3.184850907262879e-08;0.8798336192290511;3.184850907262879e-08;0.8583010524814841
;3.1982326337623435e-08;0.8713367746635844;3.1982326337623435e-08;0.8709379699188947
;3.211614360261808e-08;0.8739654523573784;3.211614360261808e-08;0.8713799867500193
;3.2249960867612726e-08;0.879284297705409;3.2249960867612726e-08;0.8794207771790603
;3.238377813260737e-08;0.8838287982631687;3.238377813260737e-08;0.8906664432223421
;3.25175953980357e-08;0.894207322748057;3.25175953980357e-08;0.8979037428237622
;3.2651412663030344e-08;0.9091014185424874;3.2651412663030344e-08;0.8938727928843073
;3.278522992802499e-08;0.9100799572672068;3.278522992802499e-08;0.8942915785001707
;3.2919047193019635e-08;0.9172108423018046;3.2919047193019635e-08;0.8992489412823986
;3.305286445801428e-08;0.9262365687983383;3.305286445801428e-08;0.899235328951493
;3.3186681723008926e-08;0.9419990951130592;3.3186681723008926e-08;0.916807921705868
;3.332049898800357e-08;0.948259614196413;3.332049898800357e-08;0.9284974736855218
;3.345431625299822e-08;0.9478003343012424;3.345431625299822e-08;0.9389505188925924
;3.358813351799286e-08;0.9514074869358942;3.358813351799286e-08;0.9321868003261294
;3.372195078298751e-08;0.9605458661287473;3.372195078298751e-08;0.9343727543077405
;3.3855768047982154e-08;0.9672347408245852;3.3855768047982154e-08;0.9492123069339511
;3.39895853129768e-08;0.9744736341375594;3.39895853129768e-08;0.9599676979619758
;3.4123402577971446e-08;0.9707990987180475;3.4123402577971446e-08;0.9689173842274479
;3.425721984296609e-08;0.9775733320954101;3.425721984296609e-08;0.9824746214163128
;3.439103710796074e-08;0.9833859010559239;3.439103710796074e-08;0.9909919615185705
;3.452485437295538e-08;0.9833577796144399;3.452485437295538e-08;0.9895913972640009
;3.465867163795003e-08;0.979284628778976;3.465867163795003e-08;0.9800775929184922
;3.4792488902944674e-08;0.9892365419931878;3.4792488902944674e-08;0.9792430180923655
;3.492630616793932e-08;0.9923598478585309;3.492630616793932e-08;0.9860351495771695
;3.5060123432933965e-08;0.9991195776527942;3.5060123432933965e-08;0.9782796154044869
;3.519394069792861e-08;0.9950779772030701;3.519394069792861e-08;0.9859707879842073
;3.5327757962923256e-08;0.996441570112338;3.5327757962923256e-08;0.9824518858431917
;3.54615752279179e-08;1.0;3.54615752279179e-08;0.9788416190468626
;3.559539249291255e-08;0.9914473049507234;3.559539249291255e-08;0.985597479151393
;3.572920975790719e-08;0.991423434787148;3.572920975790719e-08;0.9900682595681857
;3.586302702290184e-08;0.9904990202246314;3.586302702290184e-08;0.9931928705269133
;3.5996844288330165e-08;0.9819228586490016;3.5996844288330165e-08;0.9922794180214027
;3.613066155332481e-08;0.9738741498701999;3.613066155332481e-08;0.9913912361503854
;3.6264478818319457e-08;0.9702848413269232;3.6264478818319457e-08;0.9900350783706139
;3.63982960833141e-08;0.9743378452724227;3.63982960833141e-08;0.9904750220225854
;3.653211334830875e-08;0.9703132246392192;3.653211334830875e-08;0.9913883796642801
;3.6665930613303394e-08;0.9644149668942913;3.6665930613303394e-08;1.0
;3.679974787829804e-08;0.9512690039152978;3.679974787829804e-08;0.9937568272714743
;3.6933565143292685e-08;0.944040957582538;3.6933565143292685e-08;0.985695868159057
;3.706738240828733e-08;0.9480368060817769;3.706738240828733e-08;0.9699114245500572
;3.7201199673281976e-08;0.9309554388534105;3.7201199673281976e-08;0.9658683940200714
;3.733501693827662e-08;0.9295752741287232;3.733501693827662e-08;0.9614204607236684
;3.746883420327127e-08;0.9263900402115711;3.746883420327127e-08;0.9650441501668414
;3.760265146826591e-08;0.9205069021188992;3.760265146826591e-08;0.9591281344196266
;3.773646873326056e-08;0.9115515262125411;3.773646873326056e-08;0.9545628178390477
